itemNumber	string	score	depth	hierarchy
85911453	immuuntherapie	23	2	immunologie
75626519	voortplanting	23	1	voortplanting
75613603	medische instrumenten en apparaten	23	3	technologie
75598558	aderverkalking	22	3	ziekteleer
75657147	baarmoederhalskanker	22	3	ziekteleer
07562592x	overgewicht	22	2	ziekteleer
75623633	tandheelkunde	22	2	geneeskunde
75607840	gist	22	1	gist
183415280	klimaatveranderingen	22	2	klimatologie
75614863	medische psychologie	22	3	sociale wetenschappen
75615835	motoriek	22	4	sociale wetenschappen
75661322	milieueconomie	22	2	economie
75665980	hartchirurgie	21	3	geneeskunde
250117312	genomica	21	1	genomica
75623080	stofwisselingsziekten	21	2	ziekteleer
75598906	allergie	21	2	ziekteleer
75618451	perceptie	21	4	sociale wetenschappen
75620898	nek- en rugklachten	21	2	ziekteleer
75607786	gezondheidszorg	21	1	gezondheidszorg
75664364	thermodynamica	21	3	natuurkunde
75604094	dierfysiologie	21	2	fysiologie
75626039	vissen	21	2	dieren
29139731x	niertransplantatie	20	3	geneeskunde
75605236	embryologie	20	3	biologie
75605643	europees recht	20	2	recht
75625601	verkeersvraagstuk	20	1	verkeersvraagstuk
75606828	gedragsstoornissen	20	2	psychiatrie
75624613	trombose	20	3	hematologie
75648504	sociale relaties	20	4	sociale wetenschappen
07561507x	metalen	20	1	metalen
75685744	medische technologie	20	2	technologie
75656671	afvalwater	20	2	waterhuishouding
75677857	aangeboren afwijkingen	19	2	lichamelijk gehandicapten
75659697	hartritme(stoornissen)	19	3	ziekteleer
75679817	medische informatica	19	3	technologie
75655047	fotosynthese	19	3	chemie
75621290	schizofrenie	19	2	ziekteleer
102048169	neurobiologie	19	2	biologie
75605074	elektronen	19	3	natuurkunde
75659972	informatiesystemen	19	1	informatiesystemen
75656590	ademhalingsstoornissen	19	2	ziekteleer
78865492	voedingsgewoonten	19	1	voedingsgewoonten
75618745	plantenecologie	19	2	ecologie
75663430	rna	19	3	chemie
75665182	vruchtbaarheid	19	1	vruchtbaarheid
07562625x	voedingsleer	19	1	voedingsleer
07561491x	meettechniek	19	2	metrologie
75625202	varkens	19	4	dieren
07561815x	parasitologie	19	2	biologie
75607301	geochemie	19	3	natuurwetenschappen
75611651	kernfysica	18	2	natuurkunde
07566285x	pijn(bestrijding)	18	1	pijn(bestrijding)
177171383	gentherapie	18	2	therapieën
75661098	marketing	18	3	economie
75609002	hersenbloeding	18	3	ziekteleer
145492346	zonnecellen	18	4	techniek
75604787	ecologie	18	1	ecologie
75618907	pluimvee(houderij)	18	5	economie
75615622	moleculen	18	2	natuurkunde
75657759	bodemvruchtbaarheid	18	1	bodemvruchtbaarheid
19134740x	risicoanalyse	18	1	risicoanalyse
75628422	ziekte van parkinson	17	2	ziekteleer
75658216	colloïdchemie	17	2	chemie
75656809	duurzame landbouw	17	4	economie
75609509	huidziekten	17	2	ziekteleer
139111301	cholesterol	17	1	cholesterol
07561765x	organisatieontwikkeling	17	4	sociale wetenschappen
75661233	melkveehouderij	17	5	economie
75656507	aardappelen	17	3	planten
75612569	kristallografie	17	1	kristallografie
75617234	ontwikkelingspsychologie	17	3	sociale wetenschappen
75600617	gedrag	17	3	sociale wetenschappen
75616823	oceanografie	17	1	oceanografie
75625296	veeziekten	17	3	geneeskunde
75630001	china	17	1	china
75617269	oog(ziekten)	17	2	ziekteleer
75657627	biochemisch onderzoek	17	2	wetenschappelijk onderzoek
75659646	grondwater	17	2	water
75605430	erosie	17	1	erosie
270934669	organometaalchemie	16	2	chemie
75675021	multiple sclerose	16	2	ziekteleer
75660598	kristalchemie	16	2	chemie
75599635	archeologie	16	1	archeologie
07566366x	seismologie	16	3	natuurkunde
75605058	elektromagnetisme	16	3	natuurkunde
75598949	aluminium	16	2	metalen
246139242	dierengenetica	16	3	biologie
75677865	medische statistiek	16	2	statistiek
75657716	bloeddruk	16	1	bloeddruk
75605716	evolutieleer	16	1	evolutieleer
75689022	consumentengedrag	16	4	sociale wetenschappen
75659476	gezondheidsonderzoek	16	1	gezondheidsonderzoek
75610124	informatietechnologie	16	2	technologie
75631644	kenia	16	1	kenia
75651696	spierziekten	15	2	ziekteleer
191737771	hepatitis	15	4	ziekteleer
75661136	mathematische natuurkunde	15	2	natuurkunde
75612119	klimatologie	15	1	klimatologie
75603209	computernetwerken	15	2	communicatiemedia
90998855	speltheorie	15	3	wiskunde
75617250	oogheelkunde	15	2	geneeskunde
07562446x	transistoren	15	1	transistoren
75608014	goederenvervoer	15	2	vervoer
75664615	varkenshouderij	15	5	economie
07560504x	elektrochemie	15	2	chemie
75664674	vegetatiekunde	15	1	vegetatiekunde
397243782	biomarkers	15	3	wetenschappelijk onderzoek
75608510	gynaecologie	15	2	geneeskunde
07561023x	insectenbestrijding	15	2	ongediertebestrijding
75657899	breuken (geneeskunde)	15	2	geneeskunde
86762931	grondonderzoek	15	2	bodemkunde
134940741	milieutoxicologie	15	4	chemie
126227810	driedimensionale afbeeldingen	15	1	driedimensionale afbeeldingen
75660474	koolstofverbindingen	15	3	chemie
07561538x	milieubeleid	15	2	overheidsbeleid
75607344	geomorfologie	15	1	geomorfologie
75628333	zenuwstelsel	15	3	fysiologie
75657678	biologische bestrijding	15	1	biologische bestrijding
75664488	trillingsleer	15	2	natuurkunde
75661713	neuropsychologie	15	3	sociale wetenschappen
75664925	vitaminen (voeding)	15	2	voedingsleer
07565685x	aminozuren	14	3	chemie
75647621	reumatologie	14	2	ziekteleer
75622505	spoorwegen	14	3	logistiek
75599120	anesthesiologie	14	1	anesthesiologie
75626012	virologie	14	1	virologie
75615223	micro-elektronica	14	4	techniek
75658836	elektriciteitsvoorziening	14	3	energie
75619512	productieplanning	14	2	logistiek
277365465	aardappelen ; ziekten	14	4	planten
75660962	longkanker	14	3	ziekteleer
75659093	fotochemie	14	2	chemie
75602881	chips	14	4	techniek
75626306	vogels	14	2	dieren
75627035	weefselleer ; menskunde	14	1	weefselleer ; menskunde
75664100	straling	14	1	straling
75668904	autoimmuunziekten	14	2	ziekteleer
75651173	schildklier(ziekten)	14	3	ziekteleer
75605538	ethologie	14	2	biologie
217578365	gentechnologie	14	3	technologie
265436885	supramoleculaire chemie	13	2	chemie
75599872	atmosfeer	13	2	geografie
297128736	stamcellen	13	3	biologie
75680505	kinesiologie	13	3	antropologie
75677377	intensive care	13	2	verpleegkunde
75614286	luchtverontreiniging	13	2	milieuverontreiniging
75663317	regenwouden	13	2	bossen
75624540	treinverkeer	13	3	vervoer
75625512	toxicologie	13	3	chemie
75601834	bosbeheer	13	2	natuurbeheer en -ontwikkeling
13705601x	hiv	13	3	virologie
75625598	verkeersveiligheid	13	3	techniek
75620936	rundvee	13	4	dieren
75659565	golftheorie (natuurkunde)	13	2	natuurkunde
75636808	voeding	13	1	voeding
75660490	koolwaterstoffen	13	3	chemie
75659417	gewasbescherming	13	4	economie
115151907	chronisch zieken	13	2	patiënten
07561295x	landbouwbedrijfsleer	13	3	economie
75658437	cytostatica	13	3	farmacie
75656205	tandheelkundige materialen	12	4	techniek
180964984	escherichia coli	12	2	bacteriën
75689871	infrastructuur	12	2	logistiek
31540132x	biobrandstoffen	12	3	energie
75658852	elektronische schakelingen	12	3	techniek
75666022	kankerpatiënten	12	2	patiënten
75606844	verstandelijk gehandicapten	12	1	verstandelijk gehandicapten
75659506	gezondheidszorg ; nederland	12	2	gezondheidszorg
75626063	visteelt	12	2	aquacultuur
07562219x	software	12	2	computers
07560745x	gerontologie	12	1	gerontologie
75625415	verbintenissenrecht	12	2	recht
75628341	zetmeel	12	3	voedingsleer
75619784	psychopathologie	12	3	sociale wetenschappen
154073040	signaalverwerking	12	3	techniek
202424693	ondernemerschap	12	2	bedrijfskunde
75657465	besluitvorming	12	1	besluitvorming
07565959x	groei(stoornissen)	12	1	groei(stoornissen)
07561541x	milieuverontreiniging	12	1	milieuverontreiniging
75664054	stikstof	12	2	chemie
07561006x	industriële vormgeving	12	1	industriële vormgeving
89041011	natuurbeheer en -ontwikkeling	12	1	natuurbeheer en -ontwikkeling
75608251	grasland	12	1	grasland
75631245	indonesië	12	1	indonesië
75617773	ouderdom	12	4	sociale wetenschappen
239541189	kennismanagement	11	2	management
07560146x	bloedziekten	11	2	hematologie
83725237	orgaan- en weefseldonaties	11	3	geneeskunde
75614499	ferromagnetische materialen	11	3	metalen
75673959	supergeleiding	11	2	natuurkunde
75659441	gewrichtsziekten	11	2	ziekteleer
75601303	biofysica	11	2	natuurkunde
