itemNumber	string	score	depth	hierarchy
75689197	voedingsmiddelen ; conserveren	6	2	conserveren
75660148	jeugdzorg	6	2	hulpverlening
75609487	huid	6	1	huid
75646641	alvleesklier(ziekten)	6	3	ziekteleer
07998455x	prijsstelling (bedrijfseconomie)	6	3	economie
75614820	medezeggenschap	6	1	medezeggenschap
75681269	gehoor	6	2	zintuigen
75644762	terminals (vervoer)	6	3	vervoer
75658275	computers in het onderwijs	6	3	technologie
75605341	energievoorziening	6	2	energie
75599023	amputaties	6	3	geneeskunde
75600412	bedrijfskunde	6	1	bedrijfskunde
75622807	stadsvernieuwing	6	5	ruimtelijke ordening
75607484	geslachtsorganen	6	1	geslachtsorganen
75621606	semantiek	6	2	taalwetenschap
75663198	kwantumchemie	6	2	chemie
75614359	maagziekten	6	2	ziekteleer
75615312	midden- en kleinbedrijf	6	2	bedrijven
75634643	zuid-afrika	6	1	zuid-afrika
75655675	nepal	6	1	nepal
75658828	efficiency	6	1	efficiency
07562091x	ruimtelijke ordening	6	1	ruimtelijke ordening
75672901	benin	6	1	benin
75659514	gezondheidszorg ; buitenland	6	2	gezondheidszorg
75617927	paarden	6	4	dieren
75659409	gevaarlijke stoffen	6	2	milieuverontreiniging
75604132	diergeneeskunde	6	2	geneeskunde
75661381	mineralen (voeding)	6	2	voedingsleer
371244730	agroforestry	6	4	economie
75657260	ondernemingsrecht	5	2	recht
311716482	syndroom van sjögren	5	3	ziekteleer
75625733	vermogensrecht	5	2	recht
75660822	leidinggeven	5	1	leidinggeven
302322469	computerarchitectuur	5	2	computers
279740026	syndroom van guillain-barré	5	3	geneeskunde
75654741	hemofilie	5	3	hematologie
75615401	milieurecht	5	3	recht
75603233	computerwiskunde	5	2	wiskunde
07562298x	sterren	5	2	astronomie
07562799x	zakenrecht	5	2	recht
75611821	kinderpsychiatrie	5	2	psychiatrie
75655624	orthodontie	5	3	geneeskunde
75607735	gezinssociologie	5	3	sociale wetenschappen
75661152	mechanische technologie	5	2	technologie
84789891	lymfklier(ziekten)	5	3	ziekteleer
75624745	tuberculosebestrijding	5	1	tuberculosebestrijding
242836615	information retrieval	5	2	informatievoorziening
75625741	verpakking	5	1	verpakking
75619733	psychodiagnostiek	5	3	geneeskunde
75602679	cement	5	3	materialenkennis
07561880x	plastics	5	3	polymeren
75657422	beleggen	5	3	handel
75622785	stadsgeografie	5	3	geografie
243144229	bekken (anatomie)	5	5	antropologie
75605317	energiebronnen	5	1	energiebronnen
75600927	bestuurswetenschap	5	1	bestuurswetenschap
75689219	voedingsmiddelenindustrie	5	3	economie
07563323x	peru	5	3	amerika (dubbelcontinent)
07566612x	statistische mechanica	5	2	natuurkunde
75623323	studenten	5	1	studenten
267104944	antropogenetica	5	3	biologie
75610132	infraroodtechniek	5	1	infraroodtechniek
75617870	overheidsbeleid	5	1	overheidsbeleid
291281559	plattelandseconomie	5	2	economie
75620618	revalidatie	5	1	revalidatie
75661888	offshore technologie	5	2	technologie
75599554	arbeidsmigratie	5	2	migratie
75663252	recht ; geschiedenis	5	2	recht
07561636x	navigatie-instrumenten	5	1	navigatie-instrumenten
75601974	bouwtechniek	5	2	techniek
75614235	luchthavens	5	4	logistiek
75635941	mensenrechten	5	1	mensenrechten
75686899	computergraphics	5	1	computergraphics
75612291	koloniale geschiedenis ; nederland	5	3	geschiedenis
75599147	angsten	5	1	angsten
75612208	knaagdieren	5	3	dieren
75663171	psychosociale hulp	5	2	hulpverlening
75602245	taalkunde ; overige talen	5	2	taalkunde
75624699	tropische ziekten	5	2	ziekteleer
75628457	ziekteverzuim	5	1	ziekteverzuim
75658232	communicatiesystemen	5	1	communicatiesystemen
75663724	slib	5	1	slib
180713000	elektrofysiologie	5	2	fysiologie
155731181	persoonlijkheidsstoornissen	5	2	psychiatrie
157198022	plankton	5	3	flora
75613123	lassen	5	1	lassen
75603705	databanken	5	2	bestandsorganisatie
75600919	bestrijdingsmiddelen	5	1	bestrijdingsmiddelen
75632705	nederland	5	1	nederland
75604582	drinkwatervoorziening	5	3	water
75615665	monetaire politiek	5	3	politiek
07565914x	fruit	5	2	voedingsmiddelen
75659115	foutentheorie	5	1	foutentheorie
185947549	eindige-elementenmethode	5	3	wiskunde
75614855	medische ethiek	5	3	ethiek
75610175	inkomensverdeling	5	1	inkomensverdeling
75619504	productie	5	1	productie
166270431	radiobiologie	5	1	radiobiologie
75614812	mechanica	5	2	natuurkunde
75658364	conflicten	5	1	conflicten
97727075	cystic fibrosis	5	3	ziekteleer
75625326	veiligheidstechniek	5	2	techniek
75635593	informatieverwerking	5	1	informatieverwerking
75636824	wet- en regelgeving	5	1	wet- en regelgeving
75613069	landschapsarchitectuur	5	3	kunst
75624060	therapieën	5	1	therapieën
75614928	melk	5	3	voedingsmiddelen
123281172	informatiemanagement	5	2	management
75606887	geheugen	5	4	sociale wetenschappen
75618001	paleontologie	5	1	paleontologie
07562964x	bangladesh	5	1	bangladesh
75627426	wetenschapsleer	5	2	filosofie
75661101	markttheorie	5	2	economie
75605147	elektrotechniek	5	2	techniek
75599503	arbeidseconomie	5	3	economie
75653370	ionen	5	2	natuurkunde
75619652	prijspolitiek	5	3	politiek
75634058	sri lanka	5	1	sri lanka
07560826x	grassen	5	1	grassen
75658313	informaticarecht	5	2	recht
75616246	natuurbescherming	5	1	natuurbescherming
75657805	bossen	5	1	bossen
75686252	dyslexie	4	3	leerstoornissen
07559918x	antennes	4	1	antennes
75611279	kantoorgebouwen	4	2	gebouwen
75658100	chinese taal- en letterkunde	4	2	letterkunde
75659549	glastuinbouw	4	5	economie
241425522	foraminiferen	4	3	fauna
189672676	slakken	4	4	dieren
75661004	luchtvaarttechniek	4	2	techniek
332995682	sociale media	4	2	communicatiemedia
75624834	tunnelbouw	4	2	bouwkunde
371085454	schildklierkanker	4	3	ziekteleer
227408284	xenotransplantatie	4	3	geneeskunde
75611481	kennisleer	4	2	filosofie
75622580	spraakstoornissen	4	1	spraakstoornissen
75657023	arbeidssociologie	4	3	sociale wetenschappen
185911978	salmonella	4	2	bacteriën
75613905	licht	4	2	straling
75606194	financieringsleer	4	3	economie
75661039	maagkanker	4	3	ziekteleer
75627094	wegenbouwkunde	4	2	bouwkunde
75662914	plasmafysica	4	2	natuurkunde
75619709	psychiatrische behandelingsmethoden	4	1	psychiatrische behandelingsmethoden
161784372	mantelzorg	4	3	arbeid
75619490	privaatrecht	4	2	recht
75620669	rioleringen	4	1	rioleringen
75662884	plantaardige oliën	4	1	plantaardige oliën
75604159	dieselmotoren	4	4	werktuigbouwkunde
75605783	experimentele fysica	4	2	natuurkunde
07561166x	kernreactoren	4	1	kernreactoren
07566349x	ruimtevaarttechniek	4	2	techniek
75608804	havens	4	1	havens
75617137	onkruidbestrijding	4	1	onkruidbestrijding
75598663	afasie	4	3	leerstoornissen
75625695	verloskunde	4	2	geneeskunde
75605090	elektronica	4	3	techniek
292394365	ondernemingsbestuur	4	2	bedrijfskunde
75607808	gieterijtechniek	4	2	techniek
75603187	computergeheugens	4	5	sociale wetenschappen
29153399x	streptokokken	4	2	bacteriën
75625229	vectoranalyse	4	2	wiskunde
241503647	massaspectrometrie	4	3	natuurkunde
175585261	bedrijfsmilieuzorg	4	2	milieubeheer
07561278x	kunststoffen	4	2	polymeren
75604663	duinen	4	2	natuurgebieden
31537800x	plaveiselcelcarcinoom	4	3	ziekteleer
75617625	opvoeding	4	1	opvoeding
75663740	snijbloemen	4	2	bloemen
75688247	vrouwen ; gezondheidszorg	4	2	vrouwen
75661454	morfologie (biologie)	4	2	biologie
75598388	aardolie-industrie	4	4	economie
75651378	neurochirurgie	4	3	geneeskunde
75670380	in-vitrofertilisatie	4	2	voortplanting
216088011	niet-gouvernementele organisaties	4	2	internationale organisaties
75657929	allochtone jongeren	4	4	antropologie
177178264	woningmarkt	4	3	economie
75615371	milieubeheer	4	1	milieubeheer
75599546	arbeidsmarkt	4	4	economie
75603527	criminaliteit	4	1	criminaliteit
75662086	opsporingsonderzoek	4	1	opsporingsonderzoek
75628619	zout	4	1	zout
75607336	geologie	4	2	natuurwetenschappen
75599724	asielrecht	4	3	recht
402314883	competentiegericht onderwijs	4	2	onderwijs
277360307	humaan papillomavirus	4	3	virologie
75620138	rechterlijke macht	4	2	recht
75664917	vitaminen (biologie)	4	2	biologie
75612917	laboratoriumtechnieken	4	2	natuurkunde
75626500	voortgezet onderwijs	4	2	onderwijs
75663449	robotica	4	4	technologie
197228631	hersenvliesontsteking	4	3	ziekteleer
75687704	bodemsanering	4	3	hygiëne
75631210	india	4	1	india
75607530	gesteenten	4	1	gesteenten
75663791	sociale veranderingen	4	1	sociale veranderingen
75605732	exegese	4	1	exegese
391741861	disease management	4	2	gezondheidszorg
75620170	rechtspraak	4	1	rechtspraak
241689473	enzymtherapie	4	3	proteïnen
75672588	taxonomie (biologie)	4	2	biologie
75662892	plantengeografie	4	3	geografie
262668882	controletheorie (wiskunde)	4	2	wiskunde
75615657	mondhygiëne	4	3	hygiëne
100253369	neurale netwerken	4	2	kunstmatige intelligentie
75601885	bouwbedrijf	4	2	bedrijven
75666030	longchirurgie	4	3	geneeskunde
75638436	noordzee	4	1	noordzee
75666472	computerbeveiliging	4	2	beveiliging
241543932	gehoorapparaten	4	4	technologie
165972076	biomechanica	4	3	natuurkunde
227914430	maïs	4	2	grassen
228056330	financiële markten	4	2	economie
75628562	zonne-energie	4	2	energie
75628449	ziekteleer	4	1	ziekteleer
75661675	neerslag	4	2	meteorologie
75665905	zure regen	4	3	meteorologie
75620189	rechtssociologie	4	3	sociale wetenschappen
75663767	sociaal-economisch beleid	4	2	overheidsbeleid
75604175	digitale techniek	4	3	techniek
75612542	kredietwezen	4	4	economie
75615363	migratie	4	1	migratie
07559871x	afvalstoffen	4	2	milieuverontreiniging
244620741	schadevergoeding	4	2	recht
75636751	autoverkeer	4	2	verkeer
75603551	culturele antropologie	4	2	antropologie
75662000	ontwikkelingseconomie	4	2	economie
75689863	jeugdpsychiatrie	4	2	psychiatrie
75627108	wegverkeer	4	2	verkeer
75620553	onderzoek en ontwikkeling	4	1	onderzoek en ontwikkeling
75619741	psychomotorische therapie	4	2	therapieën
75660385	kindervoeding	4	2	voeding
75598396	aardoliewinning	4	2	mijnbouw
75684365	economische psychologie	4	3	sociale wetenschappen
75608375	groepen (sociologie)	4	3	sociale wetenschappen
75659298	geluk	4	1	geluk
07565766x	biologisch onderzoek	4	2	wetenschappelijk onderzoek
07568554x	europa ; economie	4	2	europa
75645815	kameroen	4	1	kameroen
75660326	kinderen	4	1	kinderen
75618516	persoonlijkheidsleer	4	3	sociale wetenschappen
75663155	psychiatrische patiënten	4	2	patiënten
75670836	aquacultuur	4	1	aquacultuur
75627930	ijzer	4	2	metalen
75633558	thailand	4	1	thailand
75608413	grondpolitiek	4	2	politiek
75622661	spijsvertering	4	1	spijsvertering
75615495	mineralen	4	1	mineralen
07560566x	europese integratie	4	1	europese integratie
75630753	filippijnen	4	1	filippijnen
12385914x	victoriameer	4	1	victoriameer
75637391	brazilië	4	3	amerika (dubbelcontinent)
75626268	voedingsmiddelencontrole	4	1	voedingsmiddelencontrole
292009585	maatschappelijk verantwoord ondernemen	4	3	bedrijfskunde
160789532	beroepsziekten	4	2	ziekteleer
75602156	bruggen	4	1	bruggen
75600897	besliskunde	4	1	besliskunde
75660393	kinderziekten	4	2	ziekteleer
406332118	maan	3	3	astronomie
75609746	hydraulische techniek	3	2	techniek
75607360	gerechtelijke geneeskunde	3	2	opsporingsonderzoek
75605414	erfrecht	3	2	recht
07561748x	openbare financiën	3	3	politiek
75614383	maatschappelijk werk	3	1	maatschappelijk werk
75599767	astrochemie	3	2	chemie
227580532	kwantumveldentheorie	3	2	natuurkunde
75652374	vlinders	3	5	dieren
75619539	programmeertalen	3	1	programmeertalen
75614804	middelbaar beroepsonderwijs	3	3	onderwijs
216265517	bestuurdersaansprakelijkheid	3	2	aansprakelijkheid
75688913	elektrocardiografie	3	3	geneeskunde
75617676	organische technische oliën	3	1	organische technische oliën
75612275	koeltechniek	3	2	techniek
34164854x	bestuursprocesrecht	3	3	recht
75621991	sociale ethiek	3	2	ethiek
75613743	leraren	3	1	leraren
188845534	asfalt	3	3	materialenkennis
75611368	cartografie	3	1	cartografie
75610329	internationaal handelsrecht	3	3	recht
07562494x	uitgeverij	3	1	uitgeverij
75660814	leesvaardigheid	3	2	lezen
75606283	fonologie	3	2	taalwetenschap
07562575x	verpleegkunde	3	1	verpleegkunde
75663228	radiochemie	3	2	chemie
75609886	immigratie	3	2	migratie
75664984	vliegtuigmaterialen	3	4	techniek
191475289	onderhandelen	3	2	gesprekstechniek
07561037x	internationaal strafrecht	3	3	recht
75600978	beurswezen	3	2	handel
75604809	economie	3	1	economie
75605899	farmaceutische producten	3	1	farmaceutische producten
75659204	gasvoorziening	3	3	energie
96044020	spraak (computertechniek)	3	2	computertoepassingen
75659611	groepentheorie (wiskunde)	3	2	wiskunde
263505294	blaaskanker	3	3	ziekteleer
215174062	parodontologie	3	3	geneeskunde
75656515	aardmagnetisme	3	3	natuurkunde
75605848	faillissementsrecht	3	2	recht
07561703x	onderwijsresearch	3	2	onderzoek en ontwikkeling
315466634	emissiehandel	3	4	recht
75623560	taalwetenschap	3	1	taalwetenschap
244172382	coeliakie	3	3	ziekteleer
75674416	compileerprogramma's	3	2	computerprogramma's
75601737	bomen	3	2	planten
75614685	marktonderzoek	3	4	economie
75662787	pathologische anatomie	3	4	biologie
75663074	prijsontwikkeling	3	1	prijsontwikkeling
75625776	verpleegtehuizen	3	1	verpleegtehuizen
273852167	microsysteemtechnologie	3	2	technologie
75619016	politieke partijen ; nederland	3	3	politiek
75612100	klimaatregeling	3	1	klimaatregeling
75614987	menstruatie(stoornissen)	3	3	geneeskunde
75689855	chaostheorie	3	2	wiskunde
75647303	lesgeven	3	1	lesgeven
75665514	wonden	3	2	ziekteleer
75618966	politie	3	1	politie
163153388	gebruikersinterfaces	3	2	computersystemen
75687429	indonesië ; economie	3	2	indonesië
75630974	groningen (stad)	3	3	nederland
75606763	geboortenregeling	3	1	geboortenregeling
75619881	pijpleidingen	3	3	logistiek
75658380	consumentenrecht	3	2	recht
75658348	concurrentie	3	1	concurrentie
75618974	politiek	3	1	politiek
318138980	kalimantan	3	2	indonesië
75676826	toegepaste chemie	3	2	chemie
75607123	geluidsleer	3	2	natuurkunde
75664143	subsidies	3	4	economie
75660040	internationale handel	3	2	handel
75610817	jeugdpsychologie	3	4	sociale wetenschappen
07564763x	brandwonden	3	3	ziekteleer
07565735x	bejaarden ; maatschappij	3	2	maatschappij
75658747	economische delicten	3	2	criminaliteit
75604957	elektrische energietechniek	3	3	techniek
30838153x	burgerschap	3	2	maatschappij
75600293	basisonderwijs	3	2	onderwijs
75660636	publieke sector	3	2	economie
75598825	alcoholisme	3	2	verslaving
07561877x	plantenteelt	3	5	economie
75626691	vulkanisme	3	1	vulkanisme
317672576	industriële ecologie	3	2	ecologie
75653559	eritrea	3	1	eritrea
91392314	middellandse zee	3	1	middellandse zee
75616521	neurosen	3	3	sociale wetenschappen
317666436	zoönosen	3	3	ziekteleer
75627299	werktuigbouwkunde	3	1	werktuigbouwkunde
75598604	adoptie	3	3	recht
75620766	romeins recht	3	2	recht
75657007	arbeidsproductiviteit	3	4	economie
75669986	duitsland ; geschiedenis	3	2	duitsland
75617048	onderwijssociologie	3	3	sociale wetenschappen
75622815	stadssamenleving	3	3	samenlevingsvormen
07561247x	kostprijsberekening	3	3	economie
75654733	scoliose	3	2	ziekteleer
75631296	iran	3	1	iran
75618052	papierindustrie	3	3	economie
75601915	bouwkunde	3	1	bouwkunde
75661993	ontbossing	3	2	bossen
75599228	anticonceptie	3	1	anticonceptie
75684896	medisch specialisten	3	2	geneeskundigen
75615754	morfologie (taalwetenschap)	3	2	taalwetenschap
75648571	geschiedenis van de geneeskunde	3	2	geschiedenis
75617072	onderwijsvernieuwing	3	1	onderwijsvernieuwing
75621053	satellietcommunicatie	3	2	communicatie
75636204	burgerlijk recht	3	3	recht
75605694	euthanasie	3	1	euthanasie
75611503	keramische technologie	3	2	technologie
75607190	geneeskrachtige kruiden	3	4	farmacie
321640241	botkanker	3	3	ziekteleer
75628392	ziekenhuizen	3	1	ziekenhuizen
75686880	syndroom van down	3	3	lichamelijk gehandicapten
07563032x	egypte	3	1	egypte
185267408	voetgangers	3	2	verkeer
75627256	werkloosheid	3	4	economie
75661241	mest	3	4	economie
331370514	vredesmissies	3	2	krijgsmacht
188301097	syndroom van gilles de la tourette	3	3	geneeskunde
227849205	variantie-analyse	3	3	statistiek
75623005	sterven	3	1	sterven
75610272	integraalrekening	3	2	wiskunde
75653192	aids	3	3	ziekteleer
75660717	landschapsbouw	3	2	natuurbeheer en -ontwikkeling
14543320x	milieuwetenschappen	3	1	milieuwetenschappen
75602776	chemische industrie	3	4	economie
75638630	argentinië	3	3	amerika (dubbelcontinent)
75659174	fysische technologie	3	2	technologie
75612984	landbouwonderwijs	3	2	onderwijs
75663953	inspanningsfysiologie	3	2	fysiologie
75657031	archeologie ; nederland	3	2	archeologie
75650711	boortechnologie	3	2	technologie
75603578	cultuurfilosofie	3	2	filosofie
75688239	migranten ; gezondheidszorg	3	2	migranten@@
234674717	hagiografie	3	2	levensbeschrijvingen
75613271	belastingen	3	1	belastingen
297323547	breuken (mechanica)	3	3	natuurkunde
22745944x	cytomegalovirus	3	3	virologie
07562110x	schaaldieren	3	4	dieren
31767885x	familie(relaties)	3	1	familie(relaties)
75614456	macro-economie	3	2	economie
75623552	taalstoornissen	3	2	leerstoornissen
75602571	carrièreplanning	3	2	carrière maken
75598302	aardewerk	3	1	aardewerk
75662167	organisatiepsychologie	3	3	sociale wetenschappen
75636794	vervoermiddelen	3	1	vervoermiddelen
75607557	getijden	3	2	oceanografie
269707646	kustwerken	3	4	bouwkunde
75660407	kledingindustrie	3	3	economie
75645556	antarctica	3	1	antarctica
75611325	kapitaalmarkt	3	3	economie
75599678	armoede	3	3	economie
75664992	vliegtestinstrumenten	3	4	techniek
75605333	energiebeleid	3	2	energie
07562320x	straffen	3	1	straffen
75627590	wiskunde	3	1	wiskunde
75665840	dierengeografie	3	3	geografie
75664356	theoretische informatica	3	3	technologie
75636220	programmeren	3	1	programmeren
124140912	internet	3	3	communicatiemedia
75599945	automatisering	3	1	automatisering
75620405	relativiteitstheorie	3	2	natuurkunde
75605392	epilepsie	3	2	ziekteleer
182460185	ziekte van ménière	3	3	ziekteleer
255335903	konijnen	3	3	dieren
12160800x	multimedia	3	2	computertoepassingen
75676206	veldtheorie	3	2	natuurkunde
75636832	woningbouw	3	1	woningbouw
314818669	non-hodgkinlymfoom	3	3	ziekteleer
75607778	gezondheidsrecht	3	2	recht
75665646	maritieme geschiedenis	3	2	geschiedenis
75617862	overgangsjaren	3	1	overgangsjaren
75690810	productinformatie	3	1	productinformatie
75656922	apen	3	3	dieren
75607492	geslachtsziekten	3	3	ziekteleer
75661055	macht	3	1	macht
75656701	landbouwgeschiedenis	3	2	geschiedenis
75607913	gletsjers	3	1	gletsjers
07561149x	kennissociologie	3	3	sociale wetenschappen
75636247	rampen	3	1	rampen
75640074	maleisië	3	1	maleisië
75659913	identiteit	3	3	sociale wetenschappen
165977477	ultraviolette straling	3	2	straling
75640430	midden-amerika	3	2	amerika (dubbelcontinent)
75628694	zuivelproducten	3	2	voedingsmiddelen
07562737x	wetenschappelijk onderzoek	3	1	wetenschappelijk onderzoek
07561796x	paddenstoelen	3	4	planten
75627027	weefselleer ; dierkunde	3	1	weefselleer ; dierkunde
75635003	huwelijk	3	2	samenlevingsvormen
75602032	brandpreventie	3	1	brandpreventie
75609371	horecabedrijf	3	2	bedrijven
406626618	cateringbedrijf	3	2	bedrijven
75613662	leerpsychologie	3	3	sociale wetenschappen
75629984	bolivia	3	3	amerika (dubbelcontinent)
75657643	biogeografie	3	2	geografie
75604612	druggebruik	3	2	verslaving
07560339x	consumentenaangelegenheden	3	1	consumentenaangelegenheden
75636352	italië	3	1	italië
75623404	suiker	3	3	voedingsmiddelen
230084117	zink	3	3	voedingsleer
75606895	geheugenstoornissen	3	2	ziekteleer
07561216x	klonen	3	4	technologie
75624982	uitvoer	3	2	handel
75660679	landbouwbeleid ; nederland	3	3	overheidsbeleid
189090367	scanning	3	2	computertoepassingen
75687658	levensstijlen	3	4	sociale wetenschappen
75598523	ademhaling	3	1	ademhaling
75599015	amfibieën	3	2	dieren
75619385	prehistorie	3	2	algemene geschiedenis
75632055	leiden	3	3	nederland
185802362	chinezen	3	4	antropologie
215699319	oost-afrika	3	2	afrika
75665158	vrouwen	3	1	vrouwen
75628198	zeeverontreiniging	3	3	milieuverontreiniging
274576406	cultureel erfgoed	3	3	geschiedenis
146950194	beroepsethiek	3	2	ethiek
75659182	gammastraling	3	3	straling
75618729	planologie	3	2	ruimtelijke ordening
75616858	octrooirecht	3	4	recht
75621983	sociale ecologie	3	2	ecologie
75617633	opvoedingsinrichtingen	2	2	inrichtingen
75620863	rubber	2	1	rubber
75616572	nieuwe testament	2	2	bijbels
256181160	contemporaine filosofie (20e en 21e eeuw)	2	2	filosofie
75656965	arbeidsongeschiktheid	2	1	arbeidsongeschiktheid
75620790	roofdieren	2	3	dieren
330036203	cultuurparticipatie	2	4	sociale wetenschappen
75600102	baggerwerken	2	3	economie
258321415	plantenhormonen	2	3	fysiologie
75627825	filosofische ethiek	2	2	filosofie
75613735	lepra	2	3	ziekteleer
227487303	grondrechten	2	1	grondrechten
273849972	amyotrofische lateraal sclerose	2	2	ziekteleer
75685280	gebarentaal	2	2	taalkunde
241392489	schisis	2	3	lichamelijk gehandicapten
86892916	contactlenzen	2	4	technologie
264577515	ganzen	2	3	dieren
242136559	mars (planeet)	2	2	astronomie
07561832x	patiëntenrecht	2	2	recht
239638948	mensenhandel	2	2	handel
75603780	democratie	2	1	democratie
75620227	reclamepsychologie	2	3	sociale wetenschappen
93402112	ruimteonderzoek	2	2	wetenschappelijk onderzoek
75603217	computerprogramma's	2	1	computerprogramma's
75621789	slechthorendheid	2	3	ziekteleer
75611953	klassieke filosofie	2	2	filosofie
75664208	taalbeheersing	2	1	taalbeheersing
75606550	funderingstechniek	2	3	techniek
75672529	ziekte van huntington	2	2	ziekteleer
75627922	ijstijden	2	3	natuurwetenschappen
75621258	schilderkunst	2	3	kunst
07561040x	interne geneeskunde	2	2	geneeskunde
242632106	bedrijfsethiek	2	2	ethiek
75657015	arbeidspsychologie	2	3	sociale wetenschappen
75609312	hoogspanningstechniek	2	3	techniek
75614111	logica	2	1	logica
75665557	woningbouwverenigingen	2	3	rechtspersonen
75687550	europees milieubeleid	2	3	overheidsbeleid
75608979	hermeneutiek	2	1	hermeneutiek
75601826	borstvoeding	2	3	voeding
15383580x	posttraumatische dystrofie	2	2	ziekteleer
07565704x	argumenteren	2	2	logica
75659271	geluidshinder ; verkeer	2	3	milieuverontreiniging
75608383	groepsdynamica	2	4	sociale wetenschappen
75627124	weidevogels	2	3	dieren
75622017	sociale geneeskunde	2	2	geneeskunde
75622971	sterrenkijkers	2	2	optische instrumenten en technieken
75658585	dierenrecht	2	2	recht
236266306	jeugdstrafrecht	2	3	recht
291033512	paleo-ecologie	2	2	paleontologie
75623838	telecommunicatietechniek	2	2	techniek
75601893	bouweconomie	2	2	economie
75663120	projectmanagement	2	2	management
75610485	islam	2	2	godsdienst
75612976	landbouwcoöperaties	2	3	ondernemingsvormen
75607158	gemeentebestuur	2	2	overheidsorganisatie
75598280	aardbevingen	2	3	rampen
75665069	vogelziekten	2	3	geneeskunde
07561605x	mystiek ; religie	2	2	godsdienst
07562155x	seksualiteit	2	1	seksualiteit
75620820	rooms-katholieke kerk	2	2	kerkgenootschappen
75609738	huwelijksrecht	2	3	recht
75610019	industrie	2	2	economie
256126593	nieuwe filosofie (17e-19e eeuw)	2	2	filosofie
75678985	spina bifida	2	3	lichamelijk gehandicapten
75635143	communicatie	2	1	communicatie
75600013	autotechniek	2	2	techniek
148207103	postmodernisme	2	2	filosofische stelsels
75617013	onderwijsbeleid	2	2	overheidsbeleid
75659239	gehandicapten ; onderwijs	2	2	onderwijs
75601958	bouwnijverheid	2	1	bouwnijverheid
291274978	neutronensterren	2	3	astronomie
07561135x	kartels	2	1	kartels
75625717	vermoeidheid	2	1	vermoeidheid
75665247	waterkracht	2	2	energie
75661691	neuro-anatomie	2	4	biologie
75615029	metaalindustrie	2	3	economie
75663694	seksualiteit ; jongeren	2	2	seksualiteit
75608715	hardware (computers)	2	2	computers
75612372	koper	2	2	metalen
75603675	dammen (bouwkunde)	2	4	bouwkunde
75637898	aruba	2	1	aruba
75613638	leermoeilijkheden	2	1	leermoeilijkheden
189870575	voorbereidend middelbaar beroepsonderwijs	2	4	onderwijs
264781066	epstein-barr virus	2	3	virologie
75614065	lithograferen	2	4	techniek
75615983	muziekgeschiedenis	2	2	muziekwetenschap
07562754x	windenergie	2	2	energie
315396946	ziekte van crohn	2	3	ziekteleer
75626659	vrijetijdsbesteding	2	2	tijd
75606860	gehandicaptenzorg	2	1	gehandicaptenzorg
07562558x	verkeerstekens	2	1	verkeerstekens
75631601	's-hertogenbosch	2	3	nederland
75626462	volwasseneneducatie	2	3	onderwijs
75617056	onderwijsstimulering	2	1	onderwijsstimulering
75611066	kadaster	2	1	kadaster
75628554	zon	2	3	astronomie
75607999	godsdienstsociologie	2	3	sociale wetenschappen
07566464x	vectorrekening	2	2	wiskunde
75610248	installatietechniek	2	2	techniek
75621797	slechtziendheid	2	3	ziekteleer
75628511	zintuigen	2	1	zintuigen
75613751	lerarenopleidingen	2	2	beroepsopleidingen
75598450	accountancy	2	1	accountancy
75606836	gedragstherapie	2	2	therapieën
75664801	vertelkunst	2	2	literatuurwetenschap
75614332	lijm	2	1	lijm
75604183	dioden	2	3	natuurkunde
75601230	bier	2	3	dranken
75603713	datacommunicatie	2	2	communicatie
75627078	weersvoorspelling	2	2	voorspellingen
75623013	stervensbegeleiding	2	1	stervensbegeleiding
75633485	rotterdam	2	3	nederland
270910557	cognitieve therapie	2	3	therapieën
75669838	patiëntenvoorlichting	2	3	voorlichting
75663937	sportbeoefening	2	2	recreatie
175796777	benchmarking	2	3	economie
29141270x	visserijbeleid	2	2	overheidsbeleid
75659212	gehandicapte kinderen	2	2	kinderen
75599937	auto-industrie	2	3	economie
75609800	hygiëne	2	1	hygiëne
75635178	dieren	2	1	dieren
75662183	organische mest	2	5	economie
75652382	bijen	2	5	dieren
275888126	banc d'arguin	2	2	mauritanië
75616386	nederland ; geschiedenis	2	2	geschiedenis
75630796	friesland	2	2	nederland
122442083	kolenvergassing	2	1	kolenvergassing
75661462	mossen	2	2	planten
75600706	belastingrecht	2	2	recht
75625350	vennootschapsbelasting	2	2	belastingen
75661403	moederschap	2	3	familie(relaties)
75631342	japan	2	1	japan
75617005	onderwijs	2	1	onderwijs
75662345	psalmen	2	3	bijbels
75598884	alimentatie	2	2	echtscheiding
121683281	eetstoornissen	2	2	ziekteleer
96114746	nucleaire geneeskunde	2	2	geneeskunde
188447318	deltagebied	2	2	nederland
75661624	nederlandse letterkunde ; 19e eeuw	2	3	letterkunde
75628015	zangvogels	2	3	dieren
75690926	vervoersrecht	2	2	recht
20281596x	koorts	2	2	ziekteleer
75610094	inflatie	2	4	economie
75622327	sparen	2	4	economie
75621207	scheepvaart	2	2	vervoer
75615487	multiculturele samenleving	2	2	maatschappij
121655849	audiologie	2	1	audiologie
75665654	zeewater	2	2	water
75635704	akkerbouw	2	4	economie
75658755	economische crises	2	1	economische crises
27385576x	outsourcing	2	3	organisatieleer
75601680	boerderijen	2	2	bedrijven
115595988	pcb's	2	3	milieuverontreiniging
75658054	celtherapie	2	2	therapieën
75627221	werkgelegenheidspolitiek	2	2	politiek
