brinkey label	brinkey ppn	brinkey ppn hierarchy	hierarchy depth
Holendrecht (Amsterdam)	308332857	075632705,075632861,075629550,308332857	4
Noorderpark (Amsterdam)	303809841	075632705,075632861,075629550,303809841	4
Beatrixpark (Amsterdam)	314638644	075632705,075632861,075629550,314638644	4
Park Frankendael (Amsterdam)	316334987	075632705,075632861,075629550,316334987	4
Overamstel (Amsterdam)	338131205	075632705,075632861,075629550,338131205	4
Disteldorp (Amsterdam)	370190343	075632705,075632861,075629550,370190343	4
Vogeldorp (Amsterdam)	370190351	075632705,075632861,075629550,370190351	4
Plantagebuurt (Amsterdam)	32908318X	075632705,075632861,075629550,32908318X	4
Geindriedorp (Amsterdam)	334454514	075632705,075632861,075629550,334454514	4
Oostenburg (Amsterdam)	39598078X	075632705,075632861,075629550,39598078X	4
Wallen (Amsterdam)	401129845	075632705,075632861,075629550,401129845	4
Van der Pekbuurt  (Amsterdam)	390625604	075632705,075632861,075629550,390625604	4
Amsteldorp (Amsterdam)	39528578X	075632705,075632861,075629550,39528578X	4
Westerdok (Amsterdam)	411909843	075632705,075632861,075629550,411909843	4
Oosterpark (Amsterdam)	416267335	075632705,075632861,075629550,416267335	4
Durgerdam (Amsterdam)	273784323	075632705,075632861,075629550,273784323	4
Slotervaart/Overtoomse Veld (Amsterdam)	288269691	075632705,075632861,075629550,288269691	4
Kattenburg (Amsterdam)	290997399	075632705,075632861,075629550,290997399	4
Jan Evertsenstraat (Amsterdam)	305419943	075632705,075632861,075629550,305419943	4
Marathonbuurt (Amsterdam)	305968769	075632705,075632861,075629550,305968769	4
Transvaalbuurt (Amsterdam)	313047286	075632705,075632861,075629550,313047286	4
Tuinwijck (Amsterdam)	315810173	075632705,075632861,075629550,315810173	4
Tuindorp Oostzaan (Amsterdam)	341138428	075632705,075632861,075629550,341138428	4
W.H. Vliegenbos (Amsterdam)	34337496X	075632705,075632861,075629550,34337496X	4
Oosterparkwijk (Amsterdam)	383157471	075632705,075632861,075629550,383157471	4
Vogelbuurt (Amsterdam)	39852100X	075632705,075632861,075629550,39852100X	4
Anna Paulowna	075629585	075632705,075632861,075629585	3
Assendelft	075629763	075632705,075632861,075629763	3
Bergen (NH)	07562981X	075632705,075632861,07562981X	3
Negen Nessen (Bergen (NH))	420594787	075632705,075632861,07562981X,420594787	4
Verenigde Polders	32860285X	075632705,075632861,07562981X,32860285X	4
Avenhorn	075629860	075632705,075632861,075629860	3
Koog	075631814	075632705,075632861,075631814	3
Hoorn (NH)	075631830	075632705,075632861,075631830	3
Koog aan de Zaan	075631849	075632705,075632861,075631849	3
Landsmeer	075631946	075632705,075632861,075631946	3
Krommenie	075632004	075632705,075632861,075632004	3
Krommeniedijk	075632020	075632705,075632861,075632020	3
Grootebroek	075631016	075632705,075632861,075631016	3
Grosthuizen	075631032	075632705,075632861,075631032	3
Haarlem	075631105	075632705,075632861,075631105	3
Indischebuurt-Zuid (Haarlem)	16051679X	075632705,075632861,075631105,16051679X	4
Schalkwijk (Haarlem)	182987795	075632705,075632861,075631105,182987795	4
Haarlemmerhout (Haarlem)	237782197	075632705,075632861,075631105,237782197	4
Scheepmakersdijk (Haarlem)	250192497	075632705,075632861,075631105,250192497	4
Harmenjansveld (Haarlem)	250192519	075632705,075632861,075631105,250192519	4
