itemNumber	string	score	depth	hierarchy_1	hierarchy_2	hierarchy_3	hierarchy_4	hierarchy_5
75658178	chromosomen	9	3	biologie	erfelijkheidsleer	chromosomen		
75664275	tarwe	9	3	voedingsmiddelen	granen	tarwe		
168749203	overstromingen	9	3	rampen	natuurrampen	overstromingen		
75660733	lasertechniek	9	2	techniek	lasertechniek			
75657635	bio-energie	9	2	energie	bio-energie			
227450655	kinderoncologie	9	3	ziekteleer	kanker	kinderoncologie		
75626276	voedselvraagstuk	9	2	ontwikkelingssamenwerking	voedselvraagstuk			
75605260	emoties	9	3	sociale wetenschappen	psychologie	emoties		
75599988	automobilisme	9	1	automobilisme				
75619970	radiologie	9	2	geneeskunde	radiologie			
153878231	personenvervoer	9	2	vervoer	personenvervoer			
75605309	energiebesparing	9	2	energie	energiebesparing			
75617226	ontwikkelingslanden	9	1	ontwikkelingslanden				
75639173	ghana	9	1	ghana				
75612941	landbouw	9	3	economie	agrosector	landbouw		
75635526	arbeidsomstandigheden	9	1	arbeidsomstandigheden				
75622025	sociale geografie	9	2	geografie	sociale geografie			
75617641	organisatieleer	9	1	organisatieleer				
75660725	landschapsecologie	9	2	ecologie	landschapsecologie			
75672596	cultuursociologie	9	3	sociale wetenschappen	sociologie	cultuursociologie		
323940382	eierstokkanker	8	3	ziekteleer	kanker	eierstokkanker		
75622548	sportgeneeskunde	8	2	sport	sportgeneeskunde			
75617145	onroerende zaken	8	1	onroerende zaken				
264121368	hersentumoren	8	3	ziekteleer	tumoren	hersentumoren		
75652528	kunstmatige intelligentie	8	1	kunstmatige intelligentie				
75601923	bouwkunst	8	2	kunst	bouwkunst			
75600951	betonconstructies	8	3	techniek	bouwtechniek	betonconstructies		
75636778	verkeer	8	1	verkeer				
75635283	farmacie	8	1	farmacie				
75624362	topologie	8	2	wiskunde	topologie			
07562706x	weekdieren	8	3	dieren	ongewervelde dieren	weekdieren		
75621169	scheepsbouw	8	1	scheepsbouw				
75599880	atomen	8	2	natuurkunde	atomen			
75613816	levensbeschrijvingen	8	1	levensbeschrijvingen				
75601842	bosbouw	8	2	bossen	bosbouw			
75665441	wind	8	2	meteorologie	wind			
75608219	grammatica	8	2	taalwetenschap	grammatica			
75598566	bestuursrecht	8	2	recht	bestuursrecht			
75663082	privatisering	8	1	privatisering				
75666014	verkeerswegen	8	3	logistiek	infrastructuur	verkeerswegen		
75671840	bioritmen	8	1	bioritmen				
75651572	diergedrag	8	4	sociale wetenschappen	sociologie	gedrag	diergedrag	
75601052	bewegingstherapie	8	2	therapieën	bewegingstherapie			
75656779	algen	8	2	planten	algen			
267164610	voedselallergie	8	3	ziekteleer	allergie	voedselallergie		
29233012x	drug targeting	8	4	chemie	toegepaste chemie	farmacologie	drug targeting	
75659816	huidkanker	8	3	ziekteleer	kanker	huidkanker		
07567954x	osteoporose	8	2	ziekteleer	osteoporose			
75660164	kaakchirurgie	8	3	geneeskunde	chirurgie	kaakchirurgie		
121700313	reukstoffen	8	4	technologie	voedingsmiddelentechnologie	voedingsadditieven	reukstoffen	
75617749	orthopedagogiek	8	3	agologie	pedagogiek	orthopedagogiek		
75625822	verstedelijking	8	2	demografie	verstedelijking			
07561992x	radar	8	1	radar				
75610434	investeringen	8	1	investeringen				
75606704	gassen ; mechanica	8	2	gassen@@	gassen ; mechanica			
75604817	economische groei	8	1	economische groei				
75608367	groenteteelt	8	5	economie	agrosector	landbouw	tuinbouw	groenteteelt
182931137	electronic commerce	8	2	handel	electronic commerce			
75663457	radiodiagnostiek	8	3	geneeskunde	diagnostiek	radiodiagnostiek		
75682109	broeikaseffect	8	3	milieuverontreiniging	luchtverontreiniging	broeikaseffect		
75625547	verkeersbeleid	8	2	overheidsbeleid	verkeersbeleid			
408069872	nanomaterialen	8	3	technologie	nanotechnologie	nanomaterialen		
75619695	psychiatrie	8	1	psychiatrie				
29887718x	farmacokinetiek	8	4	chemie	toegepaste chemie	farmacologie	farmacokinetiek	
75617609	optische instrumenten en technieken	8	1	optische instrumenten en technieken				
75632527	mexico (land)	8	1	mexico (land)				
07561183x	kinderpsychologie	8	4	sociale wetenschappen	psychologie	ontwikkelingspsychologie	kinderpsychologie	
327300647	sensortechnologie	8	2	technologie	sensortechnologie			
75601745	bomenteelt	8	1	bomenteelt				
75619954	radioastronomie	8	2	astronomie	radioastronomie			
07566058x	kristallen	8	1	kristallen				
75618796	plantkunde	8	2	biologie	plantkunde			
75680114	financieel management	8	2	management	financieel management			
75664321	technologische vernieuwing	8	2	innovatie	technologische vernieuwing			
75610698	jeugd	8	1	jeugd				
175158614	omgevingspsychologie	8	3	sociale wetenschappen	psychologie	omgevingspsychologie		
75636786	vervoer	8	1	vervoer				
07566013x	jeugdgezondheidszorg	7	2	gezondheidszorg	jeugdgezondheidszorg			
121730735	hyperthermie	7	1	hyperthermie				
75603799	demografie	7	1	demografie				
75614901	meetkunde	7	2	wiskunde	meetkunde			
75607204	geneeskunde	7	1	geneeskunde				
75661063	management ; gezondheidszorg	7	2	management	management ; gezondheidszorg			
75612461	kosmologie	7	1	kosmologie				
153186607	malaria	7	3	ziekteleer	tropische ziekten	malaria		
88227227	kennissystemen	7	2	kunstmatige intelligentie	kennissystemen			
75684349	ziekte van hodgkin	7	3	ziekteleer	kanker	ziekte van hodgkin		
75623218	strafprocesrecht	7	3	recht	procesrecht	strafprocesrecht		
75669854	medisch onderwijs	7	2	onderwijs	medisch onderwijs			
84826533	vogelkunde	7	3	biologie	dierkunde	vogelkunde		
07562351x	systeemtheorie	7	1	systeemtheorie				
75599171	anorganische chemie	7	2	chemie	anorganische chemie			
238924262	glaucoom	7	3	ziekteleer	oog(ziekten)	glaucoom		
75599910	autisme	7	3	psychiatrie	gedragsstoornissen	autisme		
75610310	intern transport	7	1	intern transport				
75610388	internationale economie	7	2	economie	internationale economie			
07567923x	mathematische psychologie	7	3	sociale wetenschappen	psychologie	mathematische psychologie		
75618818	plastische chirurgie	7	3	geneeskunde	chirurgie	plastische chirurgie		
75622874	statistiek	7	1	statistiek				
75611201	kankerbestrijding	7	2	geneeskunde	kankerbestrijding			
174882149	prenatale diagnostiek	7	3	geneeskunde	gynaecologie	prenatale diagnostiek		
75600390	bedrijfsgeneeskunde	7	2	geneeskunde	bedrijfsgeneeskunde			
75606852	geestelijke gezondheidszorg	7	2	gezondheidszorg	geestelijke gezondheidszorg			
263313506	voorraadbeheer	7	2	logistiek	voorraadbeheer			
75610353	internationaal recht	7	2	recht	internationaal recht			
75657287	bedrijfsvestiging	7	3	geografie	economische geografie	bedrijfsvestiging		
75659344	geneeskunde ; opleiding	7	2	geneeskunde	geneeskunde ; opleiding			
75665506	wiskundige logica	7	2	logica	wiskundige logica			
75659964	industriële innovatie	7	2	innovatie	industriële innovatie			
75622882	stedenbouw	7	4	ruimtelijke ordening	planologie	stadsplanologie	stedenbouw	
37834823x	oncologische chirurgie	7	3	geneeskunde	kankerbehandeling	oncologische chirurgie		
100450830	russische federatie	7	1	russische federatie				
75623498	syntaxis	7	2	taalwetenschap	syntaxis			
75604825	economische politiek	7	2	politiek	economische politiek			
75601478	bloedtransfusie	7	1	bloedtransfusie				
314342192	sekseverschillen	7	2	sociale wetenschappen	sekseverschillen			
75625288	veeteelt	7	4	economie	agrosector	landbouw	veeteelt	
75601524	bloementeelt	7	5	economie	agrosector	landbouw	tuinbouw	bloementeelt
98141651	tribologie	7	2	werktuigbouwkunde	tribologie			
75615118	meteorologie	7	1	meteorologie				
75657473	bevolkingsonderzoek	7	2	gezondheidszorg	bevolkingsonderzoek			
07567856x	theoretische natuurkunde	7	2	natuurkunde	theoretische natuurkunde			
75658089	chemische fysica	7	2	natuurkunde	chemische fysica			
75609525	huisartsen	7	2	geneeskundigen	huisartsen			
75680041	revalidatiegeneeskunde	7	2	geneeskunde	revalidatiegeneeskunde			
291506313	geslachtshormonen	7	2	hormonen	geslachtshormonen			
75612895	kwaliteitsmanagement	7	2	management	kwaliteitsmanagement			
75658887	energie-economie	7	2	economie	energie-economie			
75651645	agressie	7	4	sociale wetenschappen	psychologie	emoties	agressie	
75626683	vuilverwerking	7	3	economie	industrie	vuilverwerking		
75664607	variatierekening	7	2	wiskunde	variatierekening			
75598361	aardkorst	7	3	natuurwetenschappen	geologie	aardkorst		
75606593	fysiologie	7	1	fysiologie				
75602040	brandstoffen	7	2	energie	brandstoffen			
141004967	procesindustrie	7	3	economie	industrie	procesindustrie		
88165566	vietnam	7	1	vietnam				
07567842x	endoscopie	7	3	geneeskunde	diagnostiek	endoscopie		
75601931	bouwmaterialen	7	2	materialenkennis	bouwmaterialen			
07565668x	agrarische sociologie	7	3	sociale wetenschappen	sociologie	agrarische sociologie		
75620251	recycling	7	4	economie	industrie	vuilverwerking	recycling	
09004147x	risicobeheer	7	2	management	risicobeheer			
75656612	aërodynamica	7	3	gassen@@	gassen ; mechanica	aërodynamica		
07568893x	economische geografie	7	2	geografie	economische geografie			
75665883	zuurstof	7	1	zuurstof				
75598787	akoestiek	7	3	natuurkunde	geluidsleer	akoestiek		
89481925	burkina faso	7	1	burkina faso				
07566562x	zaad (landbouw)	7	4	economie	agrosector	landbouw	zaad (landbouw)	
75628899	afrika	7	1	afrika				
75612968	landbouwbeleid	7	2	overheidsbeleid	landbouwbeleid			
75659921	incontinentie	6	2	ziekteleer	incontinentie			
122338634	virtual reality	6	1	virtual reality				
75648636	psycholinguïstiek	6	2	taalwetenschap	psycholinguïstiek			
292322593	artrose	6	3	ziekteleer	gewrichtsziekten	artrose		
190748389	lupus erythematodes	6	3	ziekteleer	autoimmuunziekten	lupus erythematodes		
291944671	psychofarmaca	6	3	farmacie	geneesmiddelen	psychofarmaca		
75599589	arbeidsrecht	6	2	recht	arbeidsrecht			
75625342	vennootschappen	6	2	recht	vennootschappen			
242732836	luminescentie	6	3	chemie	fotochemie	luminescentie		
216389194	containervervoer	6	3	vervoer	goederenvervoer	containervervoer		
370853911	orthopedische chirurgie	6	2	orthopedie	orthopedische chirurgie			
236130854	septikemie	6	2	ziekteleer	septikemie			
24391041x	ziekenhuisinfecties	6	3	ziekteleer	infectieziekten	ziekenhuisinfecties		
75674408	neutronenradiografie	6	1	neutronenradiografie				
75653451	chromatografie	6	3	chemie	analytische chemie	chromatografie		
75618478	personeelsbeleid	6	1	personeelsbeleid				
75625008	universiteiten	6	1	universiteiten				
75659158	functietheorie	6	2	wiskunde	functietheorie			
75606534	fruitteelt	6	5	economie	agrosector	landbouw	tuinbouw	fruitteelt
136927971	tweetaligheid	6	2	taal	tweetaligheid			
07560275x	chemie	6	1	chemie				
227555309	teamwerk	6	4	sociale wetenschappen	sociologie	arbeidssociologie	teamwerk	
75627558	windturbines	6	4	werktuigbouwkunde	aandrijftechniek	turbines	windturbines	
07568859x	vermogenselektronica	6	4	techniek	elektrotechniek	elektronica	vermogenselektronica	
19514015x	wachttijdtheorie	6	4	wiskunde	toegepaste wiskunde	operations research	wachttijdtheorie	
75660059	internationale organisaties	6	1	internationale organisaties				
242296734	ovaria	6	2	geslachtsorganen	ovaria			
75607417	geriatrie	6	2	geneeskunde	geriatrie			
75625563	verkeerskunde	6	1	verkeerskunde				
75660466	koolhydraten	6	2	voedingsleer	koolhydraten			
75659581	grafentheorie	6	2	wiskunde	grafentheorie			
75605368	engelse taalkunde	6	2	taalkunde	engelse taalkunde			
387365257	intelligente transportsystemen	6	2	vervoer	intelligente transportsystemen			
75610221	insecten	6	4	dieren	ongewervelde dieren	geleedpotige dieren	insecten	
407433503	wespen	6	5	dieren	ongewervelde dieren	geleedpotige dieren	insecten	wespen
75610116	informatievoorziening	6	1	informatievoorziening				
07565881x	eerstelijnsgezondheidszorg	6	2	gezondheidszorg	eerstelijnsgezondheidszorg			
75690640	vloeistoffen	6	1	vloeistoffen				
75659484	gezondheidsvoorlichting	6	2	voorlichting	gezondheidsvoorlichting			
195152700	interstellaire materie	6	2	astronomie	interstellaire materie			
75622750	staatsrecht	6	2	recht	staatsrecht			
75622688	staal	6	1	staal				
205437494	manisch-depressieve stoornis	6	1	manisch-depressieve stoornis				
07559904x	analytische chemie	6	2	chemie	analytische chemie			
75603586	cultuurgeschiedenis	6	2	geschiedenis	cultuurgeschiedenis			
75659360	geotechnologie	6	2	technologie	geotechnologie			
75664658	veehouderij	6	4	economie	agrosector	landbouw	veehouderij	
75604930	elektriciteitsleer	6	2	natuurkunde	elektriciteitsleer			
75635496	geodesie	6	1	geodesie				
75689197	voedingsmiddelen ; conserveren	6	2	conserveren	voedingsmiddelen ; conserveren			
75660148	jeugdzorg	6	2	hulpverlening	jeugdzorg			
75609487	huid	6	1	huid				
75646641	alvleesklier(ziekten)	6	3	ziekteleer	klierziekten	alvleesklier(ziekten)		
07998455x	prijsstelling (bedrijfseconomie)	6	3	economie	bedrijfseconomie	prijsstelling (bedrijfseconomie)		
75614820	medezeggenschap	6	1	medezeggenschap				
75681269	gehoor	6	2	zintuigen	gehoor			
75644762	terminals (vervoer)	6	3	vervoer	goederenvervoer	terminals (vervoer)		
75658275	computers in het onderwijs	6	3	technologie	onderwijstechnologie	computers in het onderwijs		
75605341	energievoorziening	6	2	energie	energievoorziening			
75599023	amputaties	6	3	geneeskunde	chirurgie	amputaties		
75600412	bedrijfskunde	6	1	bedrijfskunde				
75622807	stadsvernieuwing	6	5	ruimtelijke ordening	planologie	stadsplanologie	stedenbouw	stadsvernieuwing
75607484	geslachtsorganen	6	1	geslachtsorganen				
75621606	semantiek	6	2	taalwetenschap	semantiek			
75663198	kwantumchemie	6	2	chemie	kwantumchemie			
75614359	maagziekten	6	2	ziekteleer	maagziekten			
75615312	midden- en kleinbedrijf	6	2	bedrijven	midden- en kleinbedrijf			
75634643	zuid-afrika	6	1	zuid-afrika				
75655675	nepal	6	1	nepal				
75658828	efficiency	6	1	efficiency				
07562091x	ruimtelijke ordening	6	1	ruimtelijke ordening				
75672901	benin	6	1	benin				
75659514	gezondheidszorg ; buitenland	6	2	gezondheidszorg	gezondheidszorg ; buitenland			
75617927	paarden	6	4	dieren	zoogdieren	hoefdieren	paarden	
75659409	gevaarlijke stoffen	6	2	milieuverontreiniging	gevaarlijke stoffen			
75604132	diergeneeskunde	6	2	geneeskunde	diergeneeskunde			
75661381	mineralen (voeding)	6	2	voedingsleer	mineralen (voeding)			
371244730	agroforestry	6	4	economie	agrosector	landbouw	agroforestry	
75657260	ondernemingsrecht	5	2	recht	ondernemingsrecht			
311716482	syndroom van sjögren	5	3	ziekteleer	autoimmuunziekten	syndroom van sjögren		
75625733	vermogensrecht	5	2	recht	vermogensrecht			
75660822	leidinggeven	5	1	leidinggeven				
302322469	computerarchitectuur	5	2	computers	computerarchitectuur			
279740026	syndroom van guillain-barré	5	3	geneeskunde	neurologie	syndroom van guillain-barré		
75654741	hemofilie	5	3	hematologie	bloedziekten	hemofilie		
75615401	milieurecht	5	3	recht	omgevingsrecht	milieurecht		
75603233	computerwiskunde	5	2	wiskunde	computerwiskunde			
07562298x	sterren	5	2	astronomie	sterren			
07562799x	zakenrecht	5	2	recht	zakenrecht			
75611821	kinderpsychiatrie	5	2	psychiatrie	kinderpsychiatrie			
75655624	orthodontie	5	3	geneeskunde	tandheelkunde	orthodontie		
75607735	gezinssociologie	5	3	sociale wetenschappen	sociologie	gezinssociologie		
75661152	mechanische technologie	5	2	technologie	mechanische technologie			
84789891	lymfklier(ziekten)	5	3	ziekteleer	klierziekten	lymfklier(ziekten)		
75624745	tuberculosebestrijding	5	1	tuberculosebestrijding				
242836615	information retrieval	5	2	informatievoorziening	information retrieval			
75625741	verpakking	5	1	verpakking				
75619733	psychodiagnostiek	5	3	geneeskunde	diagnostiek	psychodiagnostiek		
75602679	cement	5	3	materialenkennis	bouwmaterialen	cement		
07561880x	plastics	5	3	polymeren	kunststoffen	plastics		
75657422	beleggen	5	3	handel	beurswezen	beleggen		
75622785	stadsgeografie	5	3	geografie	sociale geografie	stadsgeografie		
243144229	bekken (anatomie)	5	5	antropologie	antropobiologie	menskunde	beendergestel	bekken (anatomie)
75605317	energiebronnen	5	1	energiebronnen				
75600927	bestuurswetenschap	5	1	bestuurswetenschap				
75689219	voedingsmiddelenindustrie	5	3	economie	industrie	voedingsmiddelenindustrie		
07563323x	peru	5	3	amerika (dubbelcontinent)	zuid-amerika	peru		
07566612x	statistische mechanica	5	2	natuurkunde	statistische mechanica			
75623323	studenten	5	1	studenten				
267104944	antropogenetica	5	3	biologie	erfelijkheidsleer	antropogenetica		
75610132	infraroodtechniek	5	1	infraroodtechniek				
75617870	overheidsbeleid	5	1	overheidsbeleid				
291281559	plattelandseconomie	5	2	economie	plattelandseconomie			
75620618	revalidatie	5	1	revalidatie				
75661888	offshore technologie	5	2	technologie	offshore technologie			
75599554	arbeidsmigratie	5	2	migratie	arbeidsmigratie			
75663252	recht ; geschiedenis	5	2	recht	recht ; geschiedenis			
07561636x	navigatie-instrumenten	5	1	navigatie-instrumenten				
75601974	bouwtechniek	5	2	techniek	bouwtechniek			
75614235	luchthavens	5	4	logistiek	infrastructuur	luchtverkeer	luchthavens	
75635941	mensenrechten	5	1	mensenrechten				
75686899	computergraphics	5	1	computergraphics				
75612291	koloniale geschiedenis ; nederland	5	3	geschiedenis	nederland ; geschiedenis	koloniale geschiedenis ; nederland		
75599147	angsten	5	1	angsten				
75612208	knaagdieren	5	3	dieren	zoogdieren	knaagdieren		
75663171	psychosociale hulp	5	2	hulpverlening	psychosociale hulp			
75602245	taalkunde ; overige talen	5	2	taalkunde	taalkunde ; overige talen			
75624699	tropische ziekten	5	2	ziekteleer	tropische ziekten			
75628457	ziekteverzuim	5	1	ziekteverzuim				
75658232	communicatiesystemen	5	1	communicatiesystemen				
75663724	slib	5	1	slib				
180713000	elektrofysiologie	5	2	fysiologie	elektrofysiologie			
155731181	persoonlijkheidsstoornissen	5	2	psychiatrie	persoonlijkheidsstoornissen			
157198022	plankton	5	3	flora	waterflora	plankton		
75613123	lassen	5	1	lassen				
75603705	databanken	5	2	bestandsorganisatie	databanken			
75600919	bestrijdingsmiddelen	5	1	bestrijdingsmiddelen				
75632705	nederland	5	1	nederland				
75604582	drinkwatervoorziening	5	3	water	drinkwater	drinkwatervoorziening		
75615665	monetaire politiek	5	3	politiek	economische politiek	monetaire politiek		
07565914x	fruit	5	2	voedingsmiddelen	fruit			
75659115	foutentheorie	5	1	foutentheorie				
185947549	eindige-elementenmethode	5	3	wiskunde	numerieke wiskunde	eindige-elementenmethode		
75614855	medische ethiek	5	3	ethiek	gezondheidsethiek	medische ethiek		
75610175	inkomensverdeling	5	1	inkomensverdeling				
75619504	productie	5	1	productie				
166270431	radiobiologie	5	1	radiobiologie				
75614812	mechanica	5	2	natuurkunde	mechanica			
75658364	conflicten	5	1	conflicten				
97727075	cystic fibrosis	5	3	ziekteleer	stofwisselingsziekten	cystic fibrosis		
75625326	veiligheidstechniek	5	2	techniek	veiligheidstechniek			
75635593	informatieverwerking	5	1	informatieverwerking				
75636824	wet- en regelgeving	5	1	wet- en regelgeving				
75613069	landschapsarchitectuur	5	3	kunst	bouwkunst	landschapsarchitectuur		
75624060	therapieën	5	1	therapieën				
75614928	melk	5	3	voedingsmiddelen	zuivelproducten	melk		
123281172	informatiemanagement	5	2	management	informatiemanagement			
75606887	geheugen	5	4	sociale wetenschappen	psychologie	functieleer (psychologie)	geheugen	
75618001	paleontologie	5	1	paleontologie				
07562964x	bangladesh	5	1	bangladesh				
75627426	wetenschapsleer	5	2	filosofie	wetenschapsleer			
75661101	markttheorie	5	2	economie	markttheorie			
75605147	elektrotechniek	5	2	techniek	elektrotechniek			
75599503	arbeidseconomie	5	3	economie	sociale economie	arbeidseconomie		
75653370	ionen	5	2	natuurkunde	ionen			
75619652	prijspolitiek	5	3	politiek	economische politiek	prijspolitiek		
75634058	sri lanka	5	1	sri lanka				
07560826x	grassen	5	1	grassen				
75658313	informaticarecht	5	2	recht	informaticarecht			
75616246	natuurbescherming	5	1	natuurbescherming				
75657805	bossen	5	1	bossen				
75686252	dyslexie	4	3	leerstoornissen	leesstoornissen	dyslexie		
07559918x	antennes	4	1	antennes				
75611279	kantoorgebouwen	4	2	gebouwen	kantoorgebouwen			
75658100	chinese taal- en letterkunde	4	2	letterkunde	chinese taal- en letterkunde			
75659549	glastuinbouw	4	5	economie	agrosector	landbouw	tuinbouw	glastuinbouw
241425522	foraminiferen	4	3	fauna	waterfauna	foraminiferen		
189672676	slakken	4	4	dieren	ongewervelde dieren	weekdieren	slakken	
75661004	luchtvaarttechniek	4	2	techniek	luchtvaarttechniek			
332995682	sociale media	4	2	communicatiemedia	sociale media			
75624834	tunnelbouw	4	2	bouwkunde	tunnelbouw			
371085454	schildklierkanker	4	3	ziekteleer	kanker	schildklierkanker		
227408284	xenotransplantatie	4	3	geneeskunde	transplantatie	xenotransplantatie		
75611481	kennisleer	4	2	filosofie	kennisleer			
75622580	spraakstoornissen	4	1	spraakstoornissen				
75657023	arbeidssociologie	4	3	sociale wetenschappen	sociologie	arbeidssociologie		
185911978	salmonella	4	2	bacteriën	salmonella			
75613905	licht	4	2	straling	licht			
75606194	financieringsleer	4	3	economie	bedrijfseconomie	financieringsleer		
75661039	maagkanker	4	3	ziekteleer	maagziekten	maagkanker		
75627094	wegenbouwkunde	4	2	bouwkunde	wegenbouwkunde			
75662914	plasmafysica	4	2	natuurkunde	plasmafysica			
75619709	psychiatrische behandelingsmethoden	4	1	psychiatrische behandelingsmethoden				
161784372	mantelzorg	4	3	arbeid	vrijwilligerswerk	mantelzorg		
75619490	privaatrecht	4	2	recht	privaatrecht			
75620669	rioleringen	4	1	rioleringen				
75662884	plantaardige oliën	4	1	plantaardige oliën				
75604159	dieselmotoren	4	4	werktuigbouwkunde	aandrijftechniek	motoren	dieselmotoren	
75605783	experimentele fysica	4	2	natuurkunde	experimentele fysica			
07561166x	kernreactoren	4	1	kernreactoren				
07566349x	ruimtevaarttechniek	4	2	techniek	ruimtevaarttechniek			
75608804	havens	4	1	havens				
75617137	onkruidbestrijding	4	1	onkruidbestrijding				
75598663	afasie	4	3	leerstoornissen	taalstoornissen	afasie		
75625695	verloskunde	4	2	geneeskunde	verloskunde			
75605090	elektronica	4	3	techniek	elektrotechniek	elektronica		
292394365	ondernemingsbestuur	4	2	bedrijfskunde	ondernemingsbestuur			
75607808	gieterijtechniek	4	2	techniek	gieterijtechniek			
75603187	computergeheugens	4	5	sociale wetenschappen	psychologie	functieleer (psychologie)	geheugen	computergeheugens
29153399x	streptokokken	4	2	bacteriën	streptokokken			
75625229	vectoranalyse	4	2	wiskunde	vectoranalyse			
241503647	massaspectrometrie	4	3	natuurkunde	spectroscopie	massaspectrometrie		
175585261	bedrijfsmilieuzorg	4	2	milieubeheer	bedrijfsmilieuzorg			
07561278x	kunststoffen	4	2	polymeren	kunststoffen			
75604663	duinen	4	2	natuurgebieden	duinen			
31537800x	plaveiselcelcarcinoom	4	3	ziekteleer	tumoren	plaveiselcelcarcinoom		
75617625	opvoeding	4	1	opvoeding				
75663740	snijbloemen	4	2	bloemen	snijbloemen			
75688247	vrouwen ; gezondheidszorg	4	2	vrouwen	vrouwen ; gezondheidszorg			
75661454	morfologie (biologie)	4	2	biologie	morfologie (biologie)			
75598388	aardolie-industrie	4	4	economie	industrie	procesindustrie	aardolie-industrie	
75651378	neurochirurgie	4	3	geneeskunde	chirurgie	neurochirurgie		
75670380	in-vitrofertilisatie	4	2	voortplanting	in-vitrofertilisatie			
216088011	niet-gouvernementele organisaties	4	2	internationale organisaties	niet-gouvernementele organisaties			
75657929	allochtone jongeren	4	4	antropologie	culturele antropologie	etnische groepen ; nederland	allochtone jongeren	
177178264	woningmarkt	4	3	economie	markttheorie	woningmarkt		
75615371	milieubeheer	4	1	milieubeheer				
75599546	arbeidsmarkt	4	4	economie	sociale economie	arbeidseconomie	arbeidsmarkt	
75603527	criminaliteit	4	1	criminaliteit				
75662086	opsporingsonderzoek	4	1	opsporingsonderzoek				
75628619	zout	4	1	zout				
75607336	geologie	4	2	natuurwetenschappen	geologie			
75599724	asielrecht	4	3	recht	vreemdelingenrecht	asielrecht		
402314883	competentiegericht onderwijs	4	2	onderwijs	competentiegericht onderwijs			
277360307	humaan papillomavirus	4	3	virologie	virussen	humaan papillomavirus		
75620138	rechterlijke macht	4	2	recht	rechterlijke macht			
75664917	vitaminen (biologie)	4	2	biologie	vitaminen (biologie)			
75612917	laboratoriumtechnieken	4	2	natuurkunde	laboratoriumtechnieken			
75626500	voortgezet onderwijs	4	2	onderwijs	voortgezet onderwijs			
75663449	robotica	4	4	technologie	mechanische technologie	mechatronica	robotica	
197228631	hersenvliesontsteking	4	3	ziekteleer	hersenaandoeningen	hersenvliesontsteking		
75687704	bodemsanering	4	3	hygiëne	milieuhygiëne	bodemsanering		
75631210	india	4	1	india				
75607530	gesteenten	4	1	gesteenten				
75663791	sociale veranderingen	4	1	sociale veranderingen				
75605732	exegese	4	1	exegese				
391741861	disease management	4	2	gezondheidszorg	disease management			
75620170	rechtspraak	4	1	rechtspraak				
241689473	enzymtherapie	4	3	proteïnen	enzymen	enzymtherapie		
75672588	taxonomie (biologie)	4	2	biologie	taxonomie (biologie)			
75662892	plantengeografie	4	3	geografie	biogeografie	plantengeografie		
262668882	controletheorie (wiskunde)	4	2	wiskunde	controletheorie (wiskunde)			
75615657	mondhygiëne	4	3	hygiëne	lichaamsverzorging	mondhygiëne		
100253369	neurale netwerken	4	2	kunstmatige intelligentie	neurale netwerken			
75601885	bouwbedrijf	4	2	bedrijven	bouwbedrijf			
75666030	longchirurgie	4	3	geneeskunde	chirurgie	longchirurgie		
75638436	noordzee	4	1	noordzee				
75666472	computerbeveiliging	4	2	beveiliging	computerbeveiliging			
241543932	gehoorapparaten	4	4	technologie	medische technologie	medische instrumenten en apparaten	gehoorapparaten	
165972076	biomechanica	4	3	natuurkunde	mechanica	biomechanica		
227914430	maïs	4	2	grassen	maïs			
228056330	financiële markten	4	2	economie	financiële markten			
75628562	zonne-energie	4	2	energie	zonne-energie			
75628449	ziekteleer	4	1	ziekteleer				
75661675	neerslag	4	2	meteorologie	neerslag			
75665905	zure regen	4	3	meteorologie	neerslag	zure regen		
75620189	rechtssociologie	4	3	sociale wetenschappen	sociologie	rechtssociologie		
75663767	sociaal-economisch beleid	4	2	overheidsbeleid	sociaal-economisch beleid			
75604175	digitale techniek	4	3	techniek	elektrotechniek	digitale techniek		
75612542	kredietwezen	4	4	economie	financiële markten	bankwezen	kredietwezen	
75615363	migratie	4	1	migratie				
07559871x	afvalstoffen	4	2	milieuverontreiniging	afvalstoffen			
244620741	schadevergoeding	4	2	recht	schadevergoeding			
75636751	autoverkeer	4	2	verkeer	autoverkeer			
75603551	culturele antropologie	4	2	antropologie	culturele antropologie			
75662000	ontwikkelingseconomie	4	2	economie	ontwikkelingseconomie			
75689863	jeugdpsychiatrie	4	2	psychiatrie	jeugdpsychiatrie			
75627108	wegverkeer	4	2	verkeer	wegverkeer			
75620553	onderzoek en ontwikkeling	4	1	onderzoek en ontwikkeling				
75619741	psychomotorische therapie	4	2	therapieën	psychomotorische therapie			
75660385	kindervoeding	4	2	voeding	kindervoeding			
75598396	aardoliewinning	4	2	mijnbouw	aardoliewinning			
75684365	economische psychologie	4	3	sociale wetenschappen	psychologie	economische psychologie		
75608375	groepen (sociologie)	4	3	sociale wetenschappen	sociologie	groepen (sociologie)		
75659298	geluk	4	1	geluk				
07565766x	biologisch onderzoek	4	2	wetenschappelijk onderzoek	biologisch onderzoek			
07568554x	europa ; economie	4	2	europa	europa ; economie			
75645815	kameroen	4	1	kameroen				
75660326	kinderen	4	1	kinderen				
75618516	persoonlijkheidsleer	4	3	sociale wetenschappen	psychologie	persoonlijkheidsleer		
