itemNumber	string	score	depth	hierarchy_1	hierarchy_2	hierarchy_3	hierarchy_4	hierarchy_5
75601419	urologie	28	2	geneeskunde	urologie			
75648539	chemotherapie	28	2	therapieën	chemotherapie			
75603691	darmziekten	28	2	ziekteleer	darmziekten			
202821048	biodiversiteit	28	2	ecologie	biodiversiteit			
75609045	hersenaandoeningen	28	2	ziekteleer	hersenaandoeningen			
75656698	landbouweconomie	28	2	economie	landbouweconomie			
75624486	transplantatie	28	2	geneeskunde	transplantatie			
75599775	astrofysica	27	2	natuurkunde	astrofysica			
75685310	cognitieve psychologie	27	3	sociale wetenschappen	psychologie	cognitieve psychologie		
75610477	irrigatie	27	2	waterhuishouding	irrigatie			
75668033	vaccinatie	27	3	gezondheidszorg	preventieve gezondheidszorg	vaccinatie		
75664666	veevoeding	27	2	voeding	veevoeding			
75675382	milieutechniek	27	2	techniek	milieutechniek			
75663384	remote sensing	27	1	remote sensing				
277957672	genexpressie	27	3	biologie	erfelijkheidsleer	genexpressie		
75614146	longziekten	26	2	ziekteleer	longziekten			
102366659	tomografie	26	4	geneeskunde	diagnostiek	radiodiagnostiek	tomografie	
75623269	stress	26	1	stress				
75652498	biomedische techniek	26	2	techniek	biomedische techniek			
75661861	numerieke wiskunde	26	2	wiskunde	numerieke wiskunde			
75617544	operations research	25	3	wiskunde	toegepaste wiskunde	operations research		
75659883	hydrodynamica	25	3	vloeistoffen	vloeistoffen ; mechanica	hydrodynamica		
216028701	hematologie	25	1	hematologie				
75606615	fysische chemie	25	2	chemie	fysische chemie			
75660687	landbouwgronden	25	1	landbouwgronden				
126610908	geografische informatiesystemen	24	2	informatiesystemen	geografische informatiesystemen			
75664402	toegepaste wiskunde	24	2	wiskunde	toegepaste wiskunde			
75664860	vetten	24	1	vetten				
75663139	prostaatkanker	24	3	ziekteleer	kanker	prostaatkanker		
75611449	keel-, neus- en oorziekten	24	2	ziekteleer	keel-, neus- en oorziekten			
75626217	vloeistoffen ; mechanica	24	2	vloeistoffen	vloeistoffen ; mechanica			
75614766	mathematische statistiek	24	2	statistiek	mathematische statistiek			
75659352	geneesmiddelengebruik	24	1	geneesmiddelengebruik				
75603829	depressiviteit	24	1	depressiviteit				
07564861x	huisartsgeneeskunde	24	2	geneeskunde	huisartsgeneeskunde			
75660199	kankeronderzoek	24	2	wetenschappelijk onderzoek	kankeronderzoek			
75609010	hersenfysiologie	24	2	fysiologie	hersenfysiologie			
16078638x	grensvlakchemie	24	2	chemie	grensvlakchemie			
75617595	optica	23	2	natuurkunde	optica			
153900660	erfelijke ziekten	23	2	ziekteleer	erfelijke ziekten			
85911453	immuuntherapie	23	2	immunologie	immuuntherapie			
75626519	voortplanting	23	1	voortplanting				
75613603	medische instrumenten en apparaten	23	3	technologie	medische technologie	medische instrumenten en apparaten		
75598558	aderverkalking	22	3	ziekteleer	hart- en vaatziekten	aderverkalking		
75657147	baarmoederhalskanker	22	3	ziekteleer	kanker	baarmoederhalskanker		
07562592x	overgewicht	22	2	ziekteleer	overgewicht			
75623633	tandheelkunde	22	2	geneeskunde	tandheelkunde			
75607840	gist	22	1	gist				
183415280	klimaatveranderingen	22	2	klimatologie	klimaatveranderingen			
75614863	medische psychologie	22	3	sociale wetenschappen	psychologie	medische psychologie		
75615835	motoriek	22	4	sociale wetenschappen	psychologie	functieleer (psychologie)	motoriek	
75661322	milieueconomie	22	2	economie	milieueconomie			
75665980	hartchirurgie	21	3	geneeskunde	chirurgie	hartchirurgie		
250117312	genomica	21	1	genomica				
75623080	stofwisselingsziekten	21	2	ziekteleer	stofwisselingsziekten			
75598906	allergie	21	2	ziekteleer	allergie			
75618451	perceptie	21	4	sociale wetenschappen	psychologie	functieleer (psychologie)	perceptie	
75620898	nek- en rugklachten	21	2	ziekteleer	nek- en rugklachten			
75607786	gezondheidszorg	21	1	gezondheidszorg				
75664364	thermodynamica	21	3	natuurkunde	warmteleer	thermodynamica		
75604094	dierfysiologie	21	2	fysiologie	dierfysiologie			
75626039	vissen	21	2	dieren	vissen			
29139731x	niertransplantatie	20	3	geneeskunde	transplantatie	niertransplantatie		
75605236	embryologie	20	3	biologie	ontwikkelingsbiologie	embryologie		
75605643	europees recht	20	2	recht	europees recht			
75625601	verkeersvraagstuk	20	1	verkeersvraagstuk				
75606828	gedragsstoornissen	20	2	psychiatrie	gedragsstoornissen			
75624613	trombose	20	3	hematologie	bloedziekten	trombose		
75648504	sociale relaties	20	4	sociale wetenschappen	psychologie	sociale psychologie	sociale relaties	
07561507x	metalen	20	1	metalen				
75685744	medische technologie	20	2	technologie	medische technologie			
75656671	afvalwater	20	2	waterhuishouding	afvalwater			
75677857	aangeboren afwijkingen	19	2	lichamelijk gehandicapten	aangeboren afwijkingen			
75659697	hartritme(stoornissen)	19	3	ziekteleer	hart- en vaatziekten	hartritme(stoornissen)		
75679817	medische informatica	19	3	technologie	informatietechnologie	medische informatica		
75655047	fotosynthese	19	3	chemie	fotochemie	fotosynthese		
75621290	schizofrenie	19	2	ziekteleer	schizofrenie			
102048169	neurobiologie	19	2	biologie	neurobiologie			
75605074	elektronen	19	3	natuurkunde	elementaire-deeltjesfysica	elektronen		
75659972	informatiesystemen	19	1	informatiesystemen				
75656590	ademhalingsstoornissen	19	2	ziekteleer	ademhalingsstoornissen			
78865492	voedingsgewoonten	19	1	voedingsgewoonten				
75618745	plantenecologie	19	2	ecologie	plantenecologie			
75663430	rna	19	3	chemie	biochemie	rna		
75665182	vruchtbaarheid	19	1	vruchtbaarheid				
07562625x	voedingsleer	19	1	voedingsleer				
07561491x	meettechniek	19	2	metrologie	meettechniek			
75625202	varkens	19	4	dieren	zoogdieren	hoefdieren	varkens	
07561815x	parasitologie	19	2	biologie	parasitologie			
75607301	geochemie	19	3	natuurwetenschappen	geologie	geochemie		
75611651	kernfysica	18	2	natuurkunde	kernfysica			
07566285x	pijn(bestrijding)	18	1	pijn(bestrijding)				
177171383	gentherapie	18	2	therapieën	gentherapie			
75661098	marketing	18	3	economie	bedrijfseconomie	marketing		
75609002	hersenbloeding	18	3	ziekteleer	hersenaandoeningen	hersenbloeding		
145492346	zonnecellen	18	4	techniek	elektrotechniek	elektrische energietechniek	zonnecellen	
75604787	ecologie	18	1	ecologie				
75618907	pluimvee(houderij)	18	5	economie	agrosector	landbouw	veehouderij	pluimvee(houderij)
75615622	moleculen	18	2	natuurkunde	moleculen			
75657759	bodemvruchtbaarheid	18	1	bodemvruchtbaarheid				
19134740x	risicoanalyse	18	1	risicoanalyse				
75628422	ziekte van parkinson	17	2	ziekteleer	ziekte van parkinson			
75658216	colloïdchemie	17	2	chemie	colloïdchemie			
75656809	duurzame landbouw	17	4	economie	agrosector	landbouw	duurzame landbouw	
75609509	huidziekten	17	2	ziekteleer	huidziekten			
139111301	cholesterol	17	1	cholesterol				
07561765x	organisatieontwikkeling	17	4	sociale wetenschappen	sociologie	organisatiesociologie	organisatieontwikkeling	
75661233	melkveehouderij	17	5	economie	agrosector	landbouw	veehouderij	melkveehouderij
75656507	aardappelen	17	3	planten	zaadplanten	aardappelen		
75612569	kristallografie	17	1	kristallografie				
75617234	ontwikkelingspsychologie	17	3	sociale wetenschappen	psychologie	ontwikkelingspsychologie		
75600617	gedrag	17	3	sociale wetenschappen	sociologie	gedrag		
75616823	oceanografie	17	1	oceanografie				
75625296	veeziekten	17	3	geneeskunde	diergeneeskunde	veeziekten		
75630001	china	17	1	china				
75617269	oog(ziekten)	17	2	ziekteleer	oog(ziekten)			
75657627	biochemisch onderzoek	17	2	wetenschappelijk onderzoek	biochemisch onderzoek			
75659646	grondwater	17	2	water	grondwater			
75605430	erosie	17	1	erosie				
270934669	organometaalchemie	16	2	chemie	organometaalchemie			
75675021	multiple sclerose	16	2	ziekteleer	multiple sclerose			
75660598	kristalchemie	16	2	chemie	kristalchemie			
75599635	archeologie	16	1	archeologie				
07566366x	seismologie	16	3	natuurkunde	geofysica	seismologie		
75605058	elektromagnetisme	16	3	natuurkunde	magnetisme	elektromagnetisme		
75598949	aluminium	16	2	metalen	aluminium			
246139242	dierengenetica	16	3	biologie	erfelijkheidsleer	dierengenetica		
75677865	medische statistiek	16	2	statistiek	medische statistiek			
75657716	bloeddruk	16	1	bloeddruk				
75605716	evolutieleer	16	1	evolutieleer				
75689022	consumentengedrag	16	4	sociale wetenschappen	psychologie	economische psychologie	consumentengedrag	
75659476	gezondheidsonderzoek	16	1	gezondheidsonderzoek				
75610124	informatietechnologie	16	2	technologie	informatietechnologie			
75631644	kenia	16	1	kenia				
75651696	spierziekten	15	2	ziekteleer	spierziekten			
191737771	hepatitis	15	4	ziekteleer	klierziekten	lever(ziekten)	hepatitis	
75661136	mathematische natuurkunde	15	2	natuurkunde	mathematische natuurkunde			
75612119	klimatologie	15	1	klimatologie				
75603209	computernetwerken	15	2	communicatiemedia	computernetwerken			
90998855	speltheorie	15	3	wiskunde	toegepaste wiskunde	speltheorie		
75617250	oogheelkunde	15	2	geneeskunde	oogheelkunde			
07562446x	transistoren	15	1	transistoren				
75608014	goederenvervoer	15	2	vervoer	goederenvervoer			
75664615	varkenshouderij	15	5	economie	agrosector	landbouw	veehouderij	varkenshouderij
07560504x	elektrochemie	15	2	chemie	elektrochemie			
75664674	vegetatiekunde	15	1	vegetatiekunde				
397243782	biomarkers	15	3	wetenschappelijk onderzoek	biologisch onderzoek	biomarkers		
75608510	gynaecologie	15	2	geneeskunde	gynaecologie			
07561023x	insectenbestrijding	15	2	ongediertebestrijding	insectenbestrijding			
75657899	breuken (geneeskunde)	15	2	geneeskunde	breuken (geneeskunde)			
86762931	grondonderzoek	15	2	bodemkunde	grondonderzoek			
134940741	milieutoxicologie	15	4	chemie	toegepaste chemie	toxicologie	milieutoxicologie	
126227810	driedimensionale afbeeldingen	15	1	driedimensionale afbeeldingen				
75660474	koolstofverbindingen	15	3	chemie	organische chemie	koolstofverbindingen		
07561538x	milieubeleid	15	2	overheidsbeleid	milieubeleid			
75607344	geomorfologie	15	1	geomorfologie				
75628333	zenuwstelsel	15	3	fysiologie	neurofysiologie	zenuwstelsel		
75657678	biologische bestrijding	15	1	biologische bestrijding				
75664488	trillingsleer	15	2	natuurkunde	trillingsleer			
75661713	neuropsychologie	15	3	sociale wetenschappen	psychologie	neuropsychologie		
75664925	vitaminen (voeding)	15	2	voedingsleer	vitaminen (voeding)			
07565685x	aminozuren	14	3	chemie	organische chemie	aminozuren		
75647621	reumatologie	14	2	ziekteleer	reumatologie			
75622505	spoorwegen	14	3	logistiek	infrastructuur	spoorwegen		
75599120	anesthesiologie	14	1	anesthesiologie				
75626012	virologie	14	1	virologie				
75615223	micro-elektronica	14	4	techniek	elektrotechniek	elektronica	micro-elektronica	
75658836	elektriciteitsvoorziening	14	3	energie	energievoorziening	elektriciteitsvoorziening		
75619512	productieplanning	14	2	logistiek	productieplanning			
277365465	aardappelen ; ziekten	14	4	planten	zaadplanten	aardappelen	aardappelen ; ziekten	
75660962	longkanker	14	3	ziekteleer	longziekten	longkanker		
75659093	fotochemie	14	2	chemie	fotochemie			
75602881	chips	14	4	techniek	schakeltechniek	elektronische schakelingen	chips	
75626306	vogels	14	2	dieren	vogels			
75627035	weefselleer ; menskunde	14	1	weefselleer ; menskunde				
75664100	straling	14	1	straling				
75668904	autoimmuunziekten	14	2	ziekteleer	autoimmuunziekten			
75651173	schildklier(ziekten)	14	3	ziekteleer	klierziekten	schildklier(ziekten)		
75605538	ethologie	14	2	biologie	ethologie			
217578365	gentechnologie	14	3	technologie	biotechnologie	gentechnologie		
265436885	supramoleculaire chemie	13	2	chemie	supramoleculaire chemie			
75599872	atmosfeer	13	2	geografie	atmosfeer			
297128736	stamcellen	13	3	biologie	celbiologie	stamcellen		
75680505	kinesiologie	13	3	antropologie	antropobiologie	kinesiologie		
75677377	intensive care	13	2	verpleegkunde	intensive care			
75614286	luchtverontreiniging	13	2	milieuverontreiniging	luchtverontreiniging			
75663317	regenwouden	13	2	bossen	regenwouden			
75624540	treinverkeer	13	3	vervoer	openbaar vervoer	treinverkeer		
75625512	toxicologie	13	3	chemie	toegepaste chemie	toxicologie		
75601834	bosbeheer	13	2	natuurbeheer en -ontwikkeling	bosbeheer			
13705601x	hiv	13	3	virologie	virussen	hiv		
75625598	verkeersveiligheid	13	3	techniek	veiligheidstechniek	verkeersveiligheid		
75620936	rundvee	13	4	dieren	zoogdieren	hoefdieren	rundvee	
75659565	golftheorie (natuurkunde)	13	2	natuurkunde	golftheorie (natuurkunde)			
75636808	voeding	13	1	voeding				
75660490	koolwaterstoffen	13	3	chemie	organische chemie	koolwaterstoffen		
75659417	gewasbescherming	13	4	economie	agrosector	landbouw	gewasbescherming	
115151907	chronisch zieken	13	2	patiënten	chronisch zieken			
07561295x	landbouwbedrijfsleer	13	3	economie	bedrijfseconomie	landbouwbedrijfsleer		
75658437	cytostatica	13	3	farmacie	geneesmiddelen	cytostatica		
75656205	tandheelkundige materialen	12	4	techniek	biomedische techniek	biomaterialen	tandheelkundige materialen	
180964984	escherichia coli	12	2	bacteriën	escherichia coli			
75689871	infrastructuur	12	2	logistiek	infrastructuur			
31540132x	biobrandstoffen	12	3	energie	bio-energie	biobrandstoffen		
75658852	elektronische schakelingen	12	3	techniek	schakeltechniek	elektronische schakelingen		
75666022	kankerpatiënten	12	2	patiënten	kankerpatiënten			
75606844	verstandelijk gehandicapten	12	1	verstandelijk gehandicapten				
75659506	gezondheidszorg ; nederland	12	2	gezondheidszorg	gezondheidszorg ; nederland			
75626063	visteelt	12	2	aquacultuur	visteelt			
07562219x	software	12	2	computers	software			
07560745x	gerontologie	12	1	gerontologie				
75625415	verbintenissenrecht	12	2	recht	verbintenissenrecht			
75628341	zetmeel	12	3	voedingsleer	koolhydraten	zetmeel		
75619784	psychopathologie	12	3	sociale wetenschappen	psychologie	psychopathologie		
154073040	signaalverwerking	12	3	techniek	telecommunicatietechniek	signaalverwerking		
202424693	ondernemerschap	12	2	bedrijfskunde	ondernemerschap			
75657465	besluitvorming	12	1	besluitvorming				
07565959x	groei(stoornissen)	12	1	groei(stoornissen)				
07561541x	milieuverontreiniging	12	1	milieuverontreiniging				
75664054	stikstof	12	2	chemie	stikstof			
07561006x	industriële vormgeving	12	1	industriële vormgeving				
89041011	natuurbeheer en -ontwikkeling	12	1	natuurbeheer en -ontwikkeling				
75608251	grasland	12	1	grasland				
75631245	indonesië	12	1	indonesië				
75617773	ouderdom	12	4	sociale wetenschappen	psychologie	ontwikkelingspsychologie	ouderdom	
239541189	kennismanagement	11	2	management	kennismanagement			
07560146x	bloedziekten	11	2	hematologie	bloedziekten			
83725237	orgaan- en weefseldonaties	11	3	geneeskunde	transplantatie	orgaan- en weefseldonaties		
75614499	ferromagnetische materialen	11	3	metalen	magnetische materialen	ferromagnetische materialen		
75673959	supergeleiding	11	2	natuurkunde	supergeleiding			
75659441	gewrichtsziekten	11	2	ziekteleer	gewrichtsziekten			
